# Time (seconds),Voltage
0.0012499,22
0.0037499,62
0.0062499,1
0.0087499,-1
0.0112499,0
0.0137499,0
0.016249899999999998,0
0.0187499,0
0.021249900000000002,0
0.023749899999999997,-1
0.0262499,-1
0.028749900000000002,0
0.031249899999999997,0
0.0337499,0
0.0362499,0
0.0387499,0
0.0412499,0
0.0437499,-1
0.0462499,0
0.0487499,0
0.0512499,1
0.053749899999999996,0
0.0562499,0
0.0587499,-1
0.061249899999999996,-1
0.0637499,0
0.0662499,-1
0.0687499,0
0.0712499,-1
0.0737499,0
0.0762499,0
0.0787499,0
0.0812499,0
0.0837499,-1
0.0862499,0
0.0887499,0
0.0912499,-1
0.0937499,-1
0.0962499,-1
0.0987499,-1
0.1012499,0
0.1037499,0
0.1062499,0
0.1087499,0
0.1112499,0
0.1137499,-1
0.1162499,-1
0.1187499,-1
0.1212499,-1
0.1237499,0
0.1262499,0
0.1287499,0
0.1312499,0
0.1337499,0
0.1362499,0
0.1387499,0
0.1412499,0
0.1437499,0
0.1462499,0
0.1487499,-1
0.1512499,-1
0.1537499,-1
0.1562499,0
0.1587499,0
0.1612499,0
0.1637499,-1
0.1662499,-1
0.1687499,0
0.1712499,0
0.1737499,0
0.17624990000000001,-1
0.1787499,0
0.1812499,-1
0.1837499,0
0.1862499,0
0.1887499,0
0.1912499,-1
0.1937499,0
0.1962499,0
0.1987499,0
0.2012499,0
0.2037499,0
0.2062499,0
0.20874990000000002,0
0.2112499,0
0.2137499,0
0.2162499,0
0.2187499,-1
0.2212499,0
0.2237499,-1
0.2262499,-1
0.2287499,0
0.2312499,1
0.2337499,-1
0.2362499,-1
0.23874990000000001,0
0.2412499,-1
0.2437499,0
0.2462499,0
0.2487499,0
0.2512499,0
0.25374990000000003,0
0.25624990000000003,-1
0.25874990000000003,-1
0.26124990000000003,0
0.26374990000000004,0
0.26624990000000004,-1
0.26874990000000004,-1
0.27124990000000004,0
0.27374990000000005,0
0.27624990000000005,0
0.27874990000000005,0
0.28124990000000005,-1
0.28374990000000005,0
0.28624990000000006,1
0.28874990000000006,0
0.2912499,-1
0.2937499,0
0.2962499,-1
0.2987499,0
0.3012499,-1
0.3037499,0
0.3062499,-1
0.3087499,0
0.3112499,0
0.3137499,-1
0.31624990000000003,-1
0.31874990000000003,0
0.32124990000000003,0
0.32374990000000003,-1
0.32624990000000004,-1
0.32874990000000004,-1
0.33124990000000004,0
0.33374990000000004,-1
0.33624990000000005,0
0.33874990000000005,0
0.34124990000000005,-1
0.34374990000000005,0
0.34624990000000005,1
0.34874990000000006,0
0.35124990000000006,0
0.3537499,0
0.3562499,0
0.3587499,-1
0.3612499,0
0.3637499,0
0.3662499,0
0.3687499,0
0.3712499,-1
0.3737499,0
0.3762499,0
0.37874990000000003,0
0.38124990000000003,0
0.38374990000000003,-1
0.38624990000000003,-1
0.38874990000000004,-1
0.39124990000000004,0
0.39374990000000004,0
0.39624990000000004,0
0.39874990000000005,0
0.40124990000000005,0
0.40374990000000005,-1
0.40624990000000005,0
0.40874990000000005,-1
0.41124990000000006,-1
0.41374990000000006,1
0.41624990000000006,-1
0.4187499,1
0.4212499,0
0.4237499,0
0.4262499,0
0.4287499,-1
0.4312499,-1
0.4337499,1
0.4362499,0
0.4387499,-1
0.44124990000000003,-1
0.44374990000000003,0
0.44624990000000003,-1
0.44874990000000003,-1
0.45124990000000004,0
0.45374990000000004,0
0.45624990000000004,-1
0.45874990000000004,0
0.46124990000000005,0
0.46374990000000005,-1
0.46624990000000005,-1
0.46874990000000005,-1
0.47124990000000005,-1
0.47374990000000006,0
0.47624990000000006,0
0.47874990000000006,0
0.4812499,-1
0.4837499,0
0.4862499,1
0.4887499,0
0.4912499,0
0.4937499,0
0.4962499,-1
0.4987499,0
0.5012499,0
0.5037499000000001,-1
0.5062499,-1
0.5087499000000001,-1
0.5112499,0
0.5137499,-1
0.5162499,-1
0.5187499,0
0.5212499,-1
0.5237499,0
0.5262499,0
0.5287499,1
0.5312499,-1
