# Time (seconds),Voltage
0.0012499,1237
0.0037499,1147
0.0062499,1379
0.0087499,1788
0.0112499,2062
0.0137499,2010
0.016249899999999998,1777
0.0187499,1651
0.021249900000000002,1838
0.023749899999999997,2315
0.0262499,2824
0.028749900000000002,3035
0.031249899999999997,2800
0.0337499,2305
0.0362499,1909
0.0387499,1801
0.0412499,1917
0.0437499,1986
0.0462499,1754
0.0487499,1281
0.0512499,883
0.053749899999999996,807
0.0562499,1079
0.0587499,1530
0.061249899999999996,1809
0.0637499,1711
0.0662499,1388
0.0687499,1142
0.0712499,1161
0.0737499,1464
0.0762499,1843
0.0787499,1954
0.0812499,1712
0.0837499,1361
0.0862499,1171
0.0887499,1287
0.0912499,1637
0.0937499,1930
0.0962499,1872
0.0987499,1571
0.1012499,1235
0.1037499,1163
0.1062499,1405
0.1087499,1785
0.1112499,2001
0.1137499,1849
0.1162499,1484
0.1187499,1208
0.1212499,1224
0.1237499,1521
0.1262499,1883
0.1287499,1993
0.1312499,1741
0.1337499,1377
0.1362499,1198
0.1387499,1321
0.1412499,1677
0.1437499,1991
0.1462499,1965
0.1487499,1648
0.1512499,1319
0.1537499,1226
0.1562499,1443
0.1587499,1811
0.1612499,2004
0.1637499,1843
0.1662499,1484
0.1687499,1240
0.1712499,1293
0.1737499,1617
0.17624990000000001,1977
0.1787499,2080
0.1812499,1828
0.1837499,1455
0.1862499,1260
0.1887499,1384
0.1912499,1740
0.1937499,2052
0.1962499,2035
0.1987499,1708
0.2012499,1379
0.2037499,1297
0.2062499,1511
0.20874990000000002,1893
0.2112499,2114
0.2137499,1965
0.2162499,1582
0.2187499,1334
0.2212499,1380
0.2237499,1701
0.2262499,2030
0.2287499,2128
0.2312499,1894
0.2337499,1548
0.2362499,1364
0.23874990000000001,1495
0.2412499,1861
0.2437499,2164
0.2462499,2135
0.2487499,1801
0.2512499,1450
0.25374990000000003,1384
0.25624990000000003,1633
0.25874990000000003,2025
0.26124990000000003,2251
0.26374990000000004,2106
0.26624990000000004,1738
0.26874990000000004,1458
0.27124990000000004,1466
0.27374990000000005,1743
0.27624990000000005,2089
0.27874990000000005,2188
0.28124990000000005,1941
0.28374990000000005,1585
0.28624990000000006,1387
0.28874990000000006,1485
0.2912499,1824
0.2937499,2117
0.2962499,2072
0.2987499,1738
0.3012499,1390
0.3037499,1277
0.3062499,1479
0.3087499,1844
0.3112499,2048
0.3137499,1888
0.31624990000000003,1516
0.31874990000000003,1232
0.32124990000000003,1252
0.32374990000000003,1553
0.32624990000000004,1901
0.32874990000000004,1996
0.33124990000000004,1735
0.33374990000000004,1369
0.33624990000000005,1189
0.33874990000000005,1310
0.34124990000000005,1648
0.34374990000000005,1936
0.34624990000000005,1899
0.34874990000000006,1571
0.35124990000000006,1242
0.3537499,1179
0.3562499,1424
0.3587499,1819
0.3612499,2025
0.3637499,1862
0.3662499,1513
0.3687499,1239
0.3712499,1237
0.3737499,1525
0.3762499,1872
0.37874990000000003,1967
0.38124990000000003,1724
0.38374990000000003,1364
0.38624990000000003,1174
0.38874990000000004,1297
0.39124990000000004,1648
0.39374990000000004,1941
0.39624990000000004,1915
0.39874990000000005,1590
0.40124990000000005,1253
0.40374990000000005,1187
0.40624990000000005,1405
0.40874990000000005,1774
0.41124990000000006,1993
0.41374990000000006,1848
0.41624990000000006,1485
0.4187499,1214
0.4212499,1229
0.4237499,1525
0.4262499,1885
0.4287499,1981
0.4312499,1724
0.4337499,1368
0.4362499,1184
0.4387499,1305
0.44124990000000003,1662
0.44374990000000003,1957
0.44624990000000003,1919
0.44874990000000003,1603
0.45124990000000004,1272
0.45374990000000004,1185
0.45624990000000004,1413
0.45874990000000004,1782
0.46124990000000005,1980
0.46374990000000005,1815
0.46624990000000005,1453
0.46874990000000005,1184
0.47124990000000005,1216
0.47374990000000006,1527
0.47624990000000006,1891
0.47874990000000006,2002
0.4812499,1748
0.4837499,1382
0.4862499,1198
0.4887499,1326
0.4912499,1670
0.4937499,1969
0.4962499,1925
0.4987499,1590
0.5012499,1252
0.5037499000000001,1160
0.5062499,1379
0.5087499000000001,1778
0.5112499,2009
0.5137499,1862
0.5162499,1496
0.5187499,1214
0.5212499,1227
0.5237499,1533
0.5262499,1891
0.5287499,1985
0.5312499,1733
0.5337499,1366
0.5362499000000001,1182
0.5387499,1313
0.5412499000000001,1659
0.5437499,1948
0.5462499000000001,1923
0.5487499,1600
0.5512499000000001,1258
0.5537499,1187
0.5562499000000001,1416
0.5587499,1798
0.5612499000000001,2019
0.5637499,1864
0.5662499000000001,1503
0.5687499,1243
0.5712499000000001,1264
0.5737499,1564
0.5762499000000001,1927
0.5787499,2025
0.5812499,1778
0.5837499,1413
0.5862499,1211
0.5887499,1334
0.5912499,1696
0.5937499,2002
0.5962499,1980
0.5987499000000001,1670
0.6012499,1347
0.6037499000000001,1269
0.6062499,1498
0.6087499000000001,1869
0.6112499,2072
0.6137499000000001,1923
0.6162499,1566
0.6187499000000001,1303
0.6212499,1334
0.6237499000000001,1641
0.6262499,1991
0.6287499000000001,2068
0.6312499,1786
0.6337499000000001,1400
0.6362499,1218
0.6387499000000001,1343
0.6412499,1699
0.6437499,1994
0.6462499,1940
0.6487499,1596
0.6512499,1264
0.6537499,1184
0.6562499,1409
0.6587499,1795
0.6612499000000001,1999
0.6637499,1841
0.6662499000000001,1498
0.6687499,1226
0.6712499000000001,1242
0.6737499,1558
0.6762499000000001,1901
0.6787499,1986
0.6812499000000001,1735
0.6837499,1340
0.6862499000000001,1173
0.6887499,1335
0.6912499000000001,1703
0.6937499,1975
