# Time (seconds),Voltage
0.0012499,214
0.0037499,973
0.0062499,2193
0.0087499,2943
0.0112499,2650
0.0137499,1530
0.016249899999999998,406
0.0187499,338
0.021249900000000002,1382
0.023749899999999997,2539
0.0262499,2958
0.028749900000000002,2339
0.031249899999999997,1106
0.0337499,265
0.0362499,766
0.0387499,1806
0.0412499,2790
0.0437499,2850
0.0462499,1952
0.0487499,717
0.0512499,244
0.053749899999999996,1011
0.0562499,2201
0.0587499,2918
0.061249899999999996,2632
0.0637499,1546
0.0662499,443
0.0687499,383
0.0712499,1414
0.0737499,2520
0.0762499,2911
0.0787499,2317
0.0812499,1108
0.0837499,281
0.0862499,665
0.0887499,1811
0.0912499,2740
0.0937499,2792
0.0962499,1944
0.0987499,736
0.1012499,275
0.1037499,1044
0.1062499,2183
0.1087499,2853
0.1112499,2589
0.1137499,1550
0.1162499,465
0.1187499,415
0.1212499,1451
0.1237499,2499
0.1262499,2855
0.1287499,2294
0.1312499,1135
0.1337499,362
0.1362499,763
0.1387499,1867
0.1412499,2713
0.1437499,2740
0.1462499,1936
0.1487499,752
0.1512499,304
0.1537499,1087
0.1562499,2183
0.1587499,2797
0.1612499,2545
0.1637499,1553
0.1662499,496
0.1687499,472
0.1712499,1501
0.1737499,2426
0.17624990000000001,2668
0.1787499,2194
0.1812499,1185
0.1837499,472
0.1862499,895
0.1887499,1899
0.1912499,2507
0.1937499,2483
0.1962499,1885
0.1987499,873
0.2012499,502
0.2037499,1287
0.2062499,2209
0.20874990000000002,2621
0.2112499,2384
0.2137499,1553
0.2162499,612
0.2187499,620
0.2212499,1609
0.2237499,2431
0.2262499,2636
0.2287499,2183
0.2312499,1173
0.2337499,457
0.2362499,891
0.23874990000000001,1930
0.2412499,2608
0.2437499,2592
0.2462499,1835
0.2487499,775
0.2512499,472
0.25374990000000003,1326
0.25624990000000003,2212
0.25874990000000003,2674
0.26124990000000003,2420
0.26374990000000004,1540
0.26624990000000004,575
0.26874990000000004,578
0.27124990000000004,1574
0.27374990000000005,2465
0.27624990000000005,2723
0.27874990000000005,2210
0.28124990000000005,1135
0.28374990000000005,399
0.28624990000000006,829
0.28874990000000006,1901
0.2912499,2653
0.2937499,2634
0.2962499,1878
0.2987499,770
0.3012499,381
0.3037499,1182
0.3062499,2231
0.3087499,2766
0.3112499,2483
0.3137499,1513
0.31624990000000003,501
0.31874990000000003,499
0.32124990000000003,1529
0.32374990000000003,2521
0.32624990000000004,2844
0.32874990000000004,2284
0.33124990000000004,1123
0.33374990000000004,330
0.33624990000000005,737
0.33874990000000005,1859
0.34124990000000005,2740
0.34374990000000005,2774
0.34624990000000005,1938
0.34874990000000006,741
0.35124990000000006,306
0.3537499,1098
0.3562499,2231
0.3587499,2877
0.3612499,2589
0.3637499,1535
0.3662499,465
0.3687499,444
0.3712499,1490
