# Time (seconds),Voltage
0.0012499,2529
0.0037499,1071
0.0062499,0
0.0087499,275
0.0112499,1677
0.0137499,2858
0.016249899999999998,3051
0.0187499,2118
0.021249900000000002,557
0.023749899999999997,0
0.0262499,713
0.028749900000000002,2160
0.031249899999999997,3061
0.0337499,2858
0.0362499,1611
0.0387499,149
0.0412499,0
0.0437499,1216
0.0462499,2574
0.0487499,3130
0.0512499,2542
0.053749899999999996,1061
0.0562499,0
0.0587499,290
0.061249899999999996,1701
0.0637499,2876
0.0662499,3051
0.0687499,2101
0.0712499,417
0.0737499,0
0.0762499,733
0.0787499,2178
0.0812499,3074
0.0837499,2860
0.0862499,1603
0.0887499,145
0.0912499,3
0.0937499,1235
0.0962499,2584
0.0987499,3124
0.1012499,2524
0.1037499,1042
0.1062499,0
0.1087499,307
0.1112499,1722
0.1137499,2889
0.1162499,3058
0.1187499,2094
0.1212499,526
0.1237499,0
0.1262499,747
0.1287499,2188
0.1312499,3067
0.1337499,2840
0.1362499,1577
0.1387499,125
0.1412499,8
0.1437499,1242
0.1462499,2586
0.1487499,3113
0.1512499,2500
0.1537499,1018
0.1562499,0
0.1587499,322
0.1612499,1740
0.1637499,2893
0.1662499,3043
0.1687499,2068
0.1712499,505
0.1737499,0
0.17624990000000001,760
0.1787499,2197
0.1812499,3085
0.1837499,2760
0.1862499,1467
0.1887499,116
0.1912499,56
0.1937499,1301
0.1962499,2634
0.1987499,3135
0.2012499,2502
0.2037499,1005
0.2062499,0
0.20874990000000002,331
0.2112499,1746
0.2137499,2890
0.2162499,3029
0.2187499,2048
0.2212499,488
0.2237499,0
0.2262499,776
0.2287499,2209
0.2312499,3063
0.2337499,2810
0.2362499,1535
0.23874990000000001,106
0.2412499,40
0.2437499,1279
0.2462499,2610
0.2487499,3116
0.2512499,2478
0.25374990000000003,979
0.25624990000000003,0
0.25874990000000003,343
0.26124990000000003,1759
0.26374990000000004,2893
0.26624990000000004,3018
0.26874990000000004,2025
0.27124990000000004,467
0.27374990000000005,0
0.27624990000000005,787
0.27874990000000005,2213
0.28124990000000005,3055
0.28374990000000005,2792
0.28624990000000006,1508
0.28874990000000006,88
0.2912499,49
0.2937499,1295
0.2962499,2620
0.2987499,3109
0.3012499,2462
0.3037499,963
0.3062499,0
0.3087499,362
0.3112499,1786
0.3137499,2913
0.31624990000000003,3021
0.31874990000000003,2019
0.32124990000000003,464
0.32374990000000003,0
0.32624990000000004,818
0.32874990000000004,2246
0.33124990000000004,3069
0.33374990000000004,2789
0.33624990000000005,1495
0.33874990000000005,80
0.34124990000000005,56
0.34374990000000005,1314
0.34624990000000005,2632
0.34874990000000006,3109
0.35124990000000006,2452
0.3537499,950
0.3562499,0
0.3587499,381
0.3612499,1804
0.3637499,2919
0.3662499,3014
0.3687499,2001
0.3712499,452
0.3737499,0
0.3762499,834
0.37874990000000003,2260
0.38124990000000003,3074
0.38374990000000003,2781
0.38624990000000003,1479
0.38874990000000004,75
0.39124990000000004,66
0.39374990000000004,1334
0.39624990000000004,2637
0.39874990000000005,3093
0.40124990000000005,2423
0.40374990000000005,920
0.40624990000000005,0
0.40874990000000005,391
0.41124990000000006,1814
0.41374990000000006,2913
0.41624990000000006,2990
0.4187499,1972
0.4212499,433
0.4237499,0
0.4262499,852
0.4287499,2273
0.4312499,3077
0.4337499,2768
0.4362499,1459
0.4387499,72
0.44124990000000003,77
0.44374990000000003,1353
0.44624990000000003,2655
0.44874990000000003,3101
0.45124990000000004,2420
0.45374990000000004,918
0.45624990000000004,0
0.45874990000000004,360
0.46124990000000005,1769
0.46374990000000005,2876
0.46624990000000005,2966
0.46874990000000005,1961
0.47124990000000005,436
0.47374990000000006,0
0.47624990000000006,883
0.47874990000000006,2307
0.4812499,3098
0.4837499,2779
0.4862499,1458
0.4887499,69
0.4912499,85
0.4937499,1372
0.4962499,2668
0.4987499,3101
0.5012499,2408
0.5037499000000001,899
0.5062499,0
0.5087499000000001,423
0.5112499,1859
0.5137499,2945
0.5162499,3001
0.5187499,1959
0.5212499,418
0.5237499,0
0.5262499,892
0.5287499,2313
0.5312499,3092
0.5337499,2758
0.5362499000000001,1434
0.5387499,64
0.5412499000000001,96
0.5437499,1390
0.5462499000000001,2682
0.5487499,3106
0.5512499000000001,2399
0.5537499,881
0.5562499000000001,0
0.5587499,441
0.5612499000000001,1878
0.5637499,2951
0.5662499000000001,2989
0.5687499,1935
0.5712499000000001,401
0.5737499,0
0.5762499000000001,912
0.5787499,2330
0.5812499,3097
0.5837499,2748
0.5862499,1414
0.5887499,53
0.5912499,104
0.5937499,1405
0.5962499,2690
0.5987499000000001,3100
0.6012499,2381
0.6037499000000001,865
0.6062499,0
0.6087499000000001,459
0.6112499,1896
0.6137499000000001,2960
0.6162499,2984
0.6187499000000001,1920
0.6212499,389
0.6237499000000001,0
0.6262499,931
0.6287499000000001,2347
0.6312499,3103
0.6337499000000001,2740
0.6362499,1390
0.6387499000000001,40
0.6412499,183
0.6437499,1543
0.6462499,2781
0.6487499,3088
0.6512499,2371
0.6537499,847
0.6562499,0
0.6587499,480
0.6612499000000001,1922
0.6637499,2972
0.6662499000000001,2979
0.6687499,1898
0.6712499000000001,368
0.6737499,0
0.6762499000000001,949
0.6787499,2354
0.6812499000000001,3093
0.6837499,2719
0.6862499000000001,1369
0.6887499,33
0.6912499000000001,130
0.6937499,1456
0.6962499000000001,2732
0.6987499,3105
0.7012499000000001,2352
0.7037499,816
0.7062499,0
0.7087499,486
0.7112499,1930
0.7137499,2974
0.7162499,2976
0.7187499,1891
0.7212499,359
0.7237499000000001,0
0.7262499,971
0.7287499000000001,2433
0.7312499,3172
0.7337499000000001,2773
0.7362499,1392
0.7387499000000001,37
0.7412499,135
0.7437499000000001,1464
0.7462499,2732
0.7487499000000001,3098
0.7512499,2333
0.7537499000000001,796
0.7562499,0
0.7587499000000001,510
0.7612499,1954
0.7637499000000001,2984
0.7662499,2958
0.7687499000000001,1851
0.7712499,333
0.7737499,0
0.7762499,995
0.7787499,2400
0.7812499,3114
0.7837499,2707
0.7862499000000001,1329
0.7887499,9
0.7912499000000001,145
0.7937499,1485
0.7962499000000001,2748
0.7987499,3103
0.8012499000000001,2320
0.8037499,778
0.8062499000000001,0
0.8087499,518
0.8112499000000001,1964
0.8137499,2992
0.8162499000000001,2956
0.8187499,1838
0.8212499000000001,310
0.8237499,0
0.8262499000000001,1007
0.8287499,2418
0.8312499000000001,3122
0.8337499,2695
0.8362499,1303
0.8387499,3
0.8412499,156
0.8437499,1509
0.8462499,2773
0.8487499000000001,3109
0.8512499,2305
0.8537499000000001,752
0.8562499,0
0.8587499000000001,531
0.8612499,1978
0.8637499000000001,3001
0.8662499,2951
0.8687499000000001,1815
0.8712499,293
0.8737499000000001,0
0.8762499,1023
0.8787499000000001,2429
0.8812499,3121
0.8837499000000001,2681
0.8862499,1281
0.8887499000000001,1
0.8912499,170
0.8937499000000001,1540
0.8962499,2790
0.8987499,3108
0.9012499,2289
0.9037499,736
0.9062499,0
0.9087499,554
0.9112499000000001,2006
0.9137499,3014
0.9162499000000001,2951
0.9187499,1804
0.9212499000000001,285
0.9237499,0
0.9262499000000001,1047
0.9287499,2450
0.9312499000000001,3130
0.9337499,2673
0.9362499000000001,1260
0.9387499,0
0.9412499000000001,175
0.9437499,1546
0.9462499000000001,2795
0.9487499,3106
0.9512499000000001,2275
0.9537499,721
0.9562499000000001,0
0.9587499,573
0.9612499,2025
0.9637499,3027
0.9662499,2948
0.9687499,1786
0.9712499,273
0.9737499000000001,0
0.9762499,1066
0.9787499000000001,2470
0.9812499,3135
0.9837499000000001,2665
0.9862499,1245
0.9887499000000001,0
0.9912499,193
0.9937499000000001,1569
0.9962499,2808
0.9987499000000001,3063
1.0012499,2188
1.0037498999999999,636
1.0062499,0
1.0087499,584
1.0112499,2035
1.0137498999999999,3026
1.0162499,2932
1.0187499,1766
1.0212499,264
1.0237498999999999,0
1.0262498999999998,1086
1.0287499,2476
1.0312499,3126
1.0337498999999999,2637
1.0362498999999998,1214
1.0387499,0
1.0412499,204
1.0437499,1585
1.0462498999999998,2815
1.0487499,3092
1.0512499,2233
1.0537499,670
1.0562498999999999,0
1.0587499,613
1.0612499,2070
1.0637499,3045
1.0662498999999999,2932
1.0687499,1748
1.0712499,243
1.0737499,0
1.0762498999999999,1108
1.0787499,2494
1.0812499,3132
1.0837499,2629
1.0862498999999999,1195
1.0887499,0
1.0912499,217
1.0937499,1601
1.0962498999999999,2823
1.0987498999999998,3084
1.1012499,2106
1.1037499,544
1.1062499,0
1.1087498999999998,736
1.1112499,2077
1.1137499,3040
1.1162499,2918
1.1187498999999999,1728
1.1212499,235
1.1237499,0
1.1262499,1124
1.1287498999999999,2507
1.1312499,3130
1.1337499,2616
1.1362499,1179
1.1387498999999999,0
1.1412499,241
1.1437499,1641
1.1462499,2855
1.1487498999999999,3098
1.1512499,2204
1.1537499,636
1.1562499,0
1.1587498999999999,647
1.1612498999999998,2101
1.1637499,3058
1.1662499,2914
1.1687499,1708
1.1712498999999998,217
1.1737499,0
1.1762499,1145
1.1787499,2529
1.1812498999999999,3143
1.1837499,2615
1.1862499,1160
1.1887499,0
1.1912498999999999,241
1.1937499,1637
1.1962499,2847
1.1987499,3085
1.2012498999999999,2189
1.2037499,626
1.2062499,0
1.2087499,665
1.2112498999999999,2118
1.2137499,3061
1.2162499,2910
1.2187499,1693
1.2212498999999999,203
1.2237498999999998,0
1.2262499,1163
1.2287499,2541
1.2312499,3138
1.2337498999999998,2599
1.2362499,1140
1.2387499,0
1.2412499,256
1.2437498999999999,1659
1.2462499,2864
1.2487499,3087
1.2512499,2178
1.2537498999999999,615
1.2562499,0
1.2587499,686
1.2612499,2139
1.2637498999999999,3067
1.2662499,2892
1.2687499,1674
1.2712499,243
1.2737498999999999,4
1.2762499,1219
1.2787499,2595
1.2812499,3167
1.2837498999999999,2597
1.2862498999999998,1118
1.2887499,0
1.2912499,262
1.2937499,1670
1.2962498999999998,2873
1.2987499,3080
1.3012499,2155
1.3037499,586
1.3062498999999999,0
1.3087499,694
1.3112499,2147
1.3137499,3071
1.3162498999999999,2889
1.3187499,1650
1.3212499,175
1.3237499,0
1.3262498999999999,1195
1.3287499,2566
1.3312499,3142
1.3337499,2573
1.3362498999999999,1100
1.3387499,0
1.3412499,280
1.3437499,1691
1.3462498999999999,2881
1.3487498999999998,3077
1.3512499,2143
1.3537499,572
1.3562499,0
1.3587498999999998,720
1.3612499,2170
1.3637499,3079
1.3662499,2877
1.3687498999999999,1627
1.3712499,157
1.3737499,0
1.3762499,1213
1.3787498999999999,2578
1.3812499,3138
1.3837499,2553
1.3862499,1081
1.3887498999999999,0
1.3912499,293
1.3937499,1708
1.3962499,2889
1.3987498999999999,3071
1.4012499,2120
1.4037499,552
1.4062499,0
1.4087498999999999,731
1.4112498999999998,2183
1.4137499,3084
1.4162499,2869
1.4187499,1612
1.4212498999999998,148
1.4237499,1
1.4262499,1229
1.4287499,2584
1.4312498999999999,3132
1.4337499,2534
1.4362499,1052
1.4387499,0
1.4412498999999999,310
1.4437499,1735
1.4462499,2906
1.4487499,3071
1.4512498999999999,2107
1.4537499,539
1.4562499,0
1.4587499,747
1.4612498999999999,2193
1.4637499,3084
1.4662499,2864
1.4687499,1601
1.4712498999999999,146
1.4737498999999998,22
1.4762499,1260
1.4787499,2616
1.4812499,3146
1.4837498999999998,2533
1.4862499,1045
1.4887499,0
1.4912499,327
1.4937498999999999,1756
1.4962499,2918
1.4987499,3066
1.5012499,2088
1.5037498999999999,515
1.5062499,0
1.5087499,763
1.5112499,2205
1.5137498999999999,3080
1.5162499,2845
1.5187499,1572
1.5212499,130
1.5237498999999999,41
1.5262499,1282
1.5287499,2629
1.5312499,3146
1.5337498999999999,2516
1.5362499,1021
1.5387499,0
1.5412499,293
1.5437499,1699
1.5462498999999998,2864
1.5487499,3024
1.5512499,2059
1.5537499,502
1.5562498999999999,0
1.5587499,800
1.5612499,2249
1.5637499,3130
1.5662498999999999,2782
1.5687499,1434
1.5712499,51
1.5737499,46
1.5762498999999999,1293
1.5787499,2639
1.5812499,3146
1.5837499,2510
1.5862498999999999,1010
1.5887499,0
1.5912499,352
1.5937499,1786
1.5962498999999999,2934
1.5987499,3064
1.6012499,2070
1.6037499,505
1.6062499,0
1.6087498999999998,815
1.6112499,2263
1.6137499,3116
1.6162499,2845
1.6187498999999999,1548
1.6212499,112
1.6237499,53
1.6262499,1310
1.6287498999999999,2650
1.6312499,3145
1.6337499,2487
1.6362499,978
1.6387498999999999,0
1.6412499,370
1.6437499,1809
1.6462499,2945
1.6487498999999999,3055
1.6512499,2046
1.6537499,483
1.6562499,0
1.6587498999999999,829
1.6612499,2275
1.6637499,3113
1.6662499,2826
1.6687499,1514
1.6712498999999998,91
1.6737499,59
1.6762499,1329
1.6787499,2663
1.6812498999999999,3143
1.6837499,2476
1.6862499,961
1.6887499,0
1.6912498999999999,377
1.6937499,1811
1.6962499,2940
1.6987499,3043
1.7012498999999999,2025
1.7037499,462
1.7062499,0
1.7087499,849
1.7112498999999999,2294
1.7137499,3116
1.7162499,2815
1.7187499,1496
1.7212498999999999,78
1.7237499,67
1.7262499,1343
1.7287499,2671
1.7312499,3135
1.7337498999999998,2455
1.7362499,936
1.7387499,0
1.7412499,396
1.7437498999999999,1836
1.7462499,2958
1.7487499,3040
1.7512499,2004
1.7537498999999999,444
1.7562499,0
1.7587499,871
1.7612499,2315
1.7637498999999999,3127
1.7662499,2815
1.7687499,1485
1.7712499,77
1.7737498999999999,78
1.7762499,1372
1.7787499,2694
1.7812499,3145
1.7837498999999999,2449
1.7862499,923
1.7887499,0
1.7912499,410
1.7937499,1857
1.7962498999999998,2968
1.7987499,3037
1.8012499,1996
1.8037499,441
1.8062498999999999,0
1.8087499,879
1.8112499,2346
